Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30546386,05/04/2015,05/06/2015,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10040,565 WEST  189 STREET,WEST  189 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",05/06/2015,12 MANHATTAN,MANHATTAN,1003804,250419,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85399557,-73.92931616,"(40.85399556667392, -73.92931615550238)"
30547577,05/05/2015,05/05/2015,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10306,,,,,RICHMOND ROAD,SEAVER AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,,,05/05/2015,02 STATEN ISLAND,STATEN ISLAND,955385,153181,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.5870756,-74.10392423,"(40.58707559623235, -74.1039242319411)"
30546407,05/04/2015,05/11/2015,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,2501 NEWKIRK AVENUE,NEWKIRK AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/11/2015,17 BROOKLYN,BROOKLYN,997275,172343,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63970875,-73.9530684,"(40.639708752049785, -73.9530684029459)"
30001422,02/20/2015,02/20/2015,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11234,2204 EAST 60 PLACE,EAST 60 PLACE,STRICKLAND AVENUE,MILL AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/20/2015,The Police Department reviewed your complaint and provided additional information below.,02/20/2015,18 BROOKLYN,BROOKLYN,1008558,162081,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61151795,-73.91245055,"(40.61151795018976, -73.9124505457913)"
30546415,05/04/2015,05/18/2015,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11238,116 CAMBRIDGE PLACE,CAMBRIDGE PLACE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",05/18/2015,02 BROOKLYN,BROOKLYN,994551,188348,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68364253,-73.96285905,"(40.68364252523663, -73.96285904954615)"
31369747,08/22/2015,08/22/2015,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009,211 AVENUE A,AVENUE A,EAST 13 STREET,EAST 14 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/22/2015,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/22/2015,03 MANHATTAN,MANHATTAN,989573,205174,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72983031,-73.98079426,"(40.72983031433916, -73.98079426221011)"
30546428,05/04/2015,05/11/2015,DOB,Department of Buildings,General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,,11412,104-27 196 STREET,196 STREET,,,,,ADDRESS,Saint Albans,,N/A,Closed,,,05/11/2015,12 QUEENS,QUEENS,1050178,197216,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7077435,-73.76220592,"(40.70774350436787, -73.76220591979356)"
30546464,05/04/2015,04/30/2015,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11233,,,,,THOMAS BOYLAND STREET,BERGEN STREET,INTERSECTION,BROOKLYN,,N/A,Pending,,,04/30/2015,16 BROOKLYN,BROOKLYN,1008128,184892,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67413038,-73.91391853,"(40.67413037897504, -73.91391852785515)"
30546525,05/04/2015,,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11233,CHAUNCEY STREET,CHAUNCEY STREET,HOWARD AVENUE,RALPH AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Started,,,05/04/2015,03 BROOKLYN,BROOKLYN,1006140,187525,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6813625,-73.92107682,"(40.681362504841, -73.92107681837075)"
30545489,05/04/2015,05/11/2015,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11223,2375 EAST    3 STREET,EAST    3 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,05/11/2015,15 BROOKLYN,BROOKLYN,993234,154960,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59200104,-73.96765204,"(40.59200104052342, -73.9676520364299)"
29998971,02/20/2015,02/27/2015,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,10467,3276 RESERVOIR OVAL EAST,RESERVOIR OVAL EAST,BEND,HOLT PLACE,,,ADDRESS,BRONX,,N/A,Closed,03/02/2015,The request submitted did not have sufficient information for the Department of Transportation to respond.,02/27/2015,07 BRONX,BRONX,1018215,258518,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87618117,-73.87718225,"(40.8761811665357, -73.87718224561272)"
31367076,08/22/2015,08/22/2015,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10039,303 WEST 153 STREET,WEST 153 STREET,8 AVENUE,BRADHURST AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,08/22/2015,The Police Department responded to the complaint and took action to fix the condition.,08/22/2015,10 MANHATTAN,MANHATTAN,1001298,240929,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82795349,-73.93839897,"(40.8279534851648, -73.93839897084293)"
18431020,08/06/2010,08/24/2010,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11377,49-15 69 STREET,69 STREET,49 AVENUE,50 AVENUE,,,ADDRESS,WOODSIDE,,N/A,Closed,,,10/22/2015,02 QUEENS,QUEENS,1013091,207971,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73746197,-73.89592781,"(40.73746196803232, -73.89592781261194)"
31858218,10/22/2015,10/23/2015,DOT,Department of Transportation,Street Condition,Pothole,,10001,,,,,9 AVENUE,WEST 30 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,,10/23/2015,04 MANHATTAN,MANHATTAN,984771,212851,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75090336,-73.9981196,"(40.75090335729659, -73.99811960274165)"
30545533,05/04/2015,05/05/2015,HPD,Department of Housing Preservation and Development,HPD Literature Request,The ABCs of Housing,,,,,,,,,,,,N/A,Closed,05/05/2015,"The literature will be emailed within 24 hours. If it is not received, please call 311 and submit a new request.",05/04/2015,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
30545547,05/04/2015,05/18/2015,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10468,2454 WEBB AVENUE,WEBB AVENUE,,,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",05/18/2015,07 BRONX,BRONX,1010272,254523,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86524311,-73.9059197,"(40.86524311270885, -73.90591969676916)"
31580413,09/21/2015,09/23/2015,DSNY,BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11354,149-09 NORTHERN BOULEVARD,NORTHERN BOULEVARD,149 STREET,149 PLACE,,,ADDRESS,Flushing,,DSNY Garage,Closed,,,09/23/2015,07 QUEENS,QUEENS,1034934,218170,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76535738,-73.81703108,"(40.76535738028279, -73.81703107983704)"
30545645,05/04/2015,05/06/2015,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11212,480 EAST   94 STREET,EAST   94 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/06/2015,17 BROOKLYN,BROOKLYN,1006977,178140,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.65560067,-73.9180907,"(40.65560067459487, -73.918090702944)"
30097848,03/04/2015,03/16/2015,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11357,149-16 23 AVENUE,23 AVENUE,149 STREET,150 STREET,,,ADDRESS,WHITESTONE,,N/A,Closed,03/14/2015,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,03/16/2015,07 QUEENS,QUEENS,1035018,222796,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77805403,-73.8166929,"(40.77805403279802, -73.81669289501897)"
30546431,05/04/2015,04/30/2015,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,28 ST E,AVE M,INTERSECTION,,,N/A,Pending,,,04/30/2015,Unspecified BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
31372158,08/22/2015,08/22/2015,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10461,,,,,,,,BRONX,,N/A,Closed,09/05/2015,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",08/22/2015,Unspecified BRONX,BRONX,,,Pelham Bay Park,BRONX,Pelham Bay Park,X039,,,7184301890,"Bruckner Boulevard, Eastchester, Hutchinson",BRONX,NY,10461,,,,,,,,,,,,,,,
31369418,08/22/2015,08/22/2015,NYPD,New York City Police Department,Vending,In Prohibited Area,Street/Sidewalk,10030,2322 7 AVENUE,7 AVENUE,WEST 136 STREET,WEST 137 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/22/2015,The Police Department responded to the complaint and took action to fix the condition.,08/22/2015,10 MANHATTAN,MANHATTAN,999995,236617,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81612069,-73.94311733,"(40.81612068624839, -73.94311733102843)"
22684932,02/09/2012,,DOB,Department of Buildings,Stalled Sites,Stalled Construction Site,,11433,92-43 173 STREET,173 STREET,JAMAICA AVENUE,93 AVENUE,,,ADDRESS,JAMAICA,,N/A,Open,,,10/26/2015,12 QUEENS,QUEENS,1043468,196966,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70710477,-73.78641015,"(40.70710476751996, -73.7864101509183)"
30545747,05/04/2015,05/04/2015,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235,55 BRIGHTON 10 COURT,BRIGHTON 10 COURT,HOLT COURT,IDE COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/04/2015,The Police Department responded to the complaint and determined that police action was not necessary.,05/04/2015,13 BROOKLYN,BROOKLYN,995907,151167,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.5815869,-73.95803413,"(40.58158689968084, -73.95803412524502)"
31582554,09/21/2015,09/22/2015,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10034,5089 BROADWAY,BROADWAY,WEST 216 STREET,WEST 218 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/22/2015,The Police Department responded to the complaint and took action to fix the condition.,09/22/2015,12 MANHATTAN,MANHATTAN,1007892,256579,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8708929,-73.91451712,"(40.870892898687906, -73.91451712249305)"
30093290,03/04/2015,03/06/2015,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10005,,,,,EXCHANGE PLACE,NEW STREET,INTERSECTION,NEW YORK,,N/A,Closed,03/14/2015,"The  Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists, the Agency may issue the responsible party a summons and/or correct the condition.",03/06/2015,01 MANHATTAN,MANHATTAN,980958,196692,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70655025,-74.01187361,"(40.70655025127705, -74.01187360666674)"
30545810,05/04/2015,05/07/2015,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11210,1354 NEW YORK AVENUE,NEW YORK AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,05/07/2015,17 BROOKLYN,BROOKLYN,999375,172405,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63987559,-73.94550156,"(40.63987559161802, -73.94550155914953)"
30545826,05/04/2015,05/08/2015,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,672 158 ST W,158 ST W,EDWARD MORGAN PL,RIVERSIDE DR,158 ST W,EDWARD MORGAN PL,INTERSECTION,,,N/A,Closed,,,05/08/2015,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
30099832,03/04/2015,03/16/2015,DOT,Department of Transportation,Street Condition,Cave-in,Street,11385,STANHOPE STREET,STANHOPE STREET,ONDERDONK AVENUE,WOODWARD AVENUE,,,BLOCKFACE,RIDGEWOOD,,N/A,Closed,03/20/2015,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,03/16/2015,05 QUEENS,QUEENS,1008408,197312,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70821964,-73.91286457,"(40.708219637944325, -73.91286457477851)"
30545792,05/04/2015,05/05/2015,DSNY,Queens East 12,Sanitation Condition,12 Dead Animals,Sidewalk,11413,122-44 MONTAUK STREET,MONTAUK STREET,NELLIS STREET,NASHVILLE BOULEVARD,,,ADDRESS,Springfield Gardens,,N/A,Closed,,,05/05/2015,12 QUEENS,QUEENS,1051034,187726,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68168933,-73.75921254,"(40.68168933355464, -73.75921253911926)"
30965179,06/29/2015,,DOHMH,Department of Health and Mental Hygiene,Poison Ivy,N/A,Other (Explain Below),10305,95 JEROME ROAD,JEROME ROAD,REID AVENUE,BENTON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,08/05/2015,The Department of Health and Mental Hygiene has received and processed your complaint.  The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation.  Inspection results are not published.,06/30/2015,02 STATEN ISLAND,STATEN ISLAND,960372,155388,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.5931482,-74.08597708,"(40.593148203680485, -74.08597707592001)"
30547567,05/05/2015,05/05/2015,DSNY,A - Brooklyn,Dirty Conditions,E5 Loose Rubbish,Sidewalk,11233,246 SUMPTER STREET,SUMPTER STREET,SARATOGA AVENUE,THOMAS S BOYLAND STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,,05/05/2015,16 BROOKLYN,BROOKLYN,1007874,187240,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68057579,-73.91482598,"(40.68057578695235, -73.91482598040905)"
30547513,05/04/2015,05/05/2015,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11373,79-00 QUEENS BOULEVARD,QUEENS BOULEVARD,,,,,ADDRESS,Elmhurst,,N/A,Closed,,,05/05/2015,04 QUEENS,QUEENS,1016206,208224,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73814568,-73.88468621,"(40.73814568330009, -73.88468620625906)"
30547527,05/04/2015,05/01/2015,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11215,,,,,11 STREET,5 AVENUE,INTERSECTION,BROOKLYN,,N/A,Pending,,,05/01/2015,06 BROOKLYN,BROOKLYN,987773,182638,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.66797516,-73.98730057,"(40.66797515538532, -73.98730056986984)"
30547561,05/05/2015,05/06/2015,DOF,Department of Finance,DOF Literature Request,SCRIE and DRIE Booklet for Tenants and Landlords,,,,,,,,,,,,N/A,Closed,05/13/2015,"The literature has been mailed. If it has not been received, please request it again from 311.",05/06/2015,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
31579816,09/21/2015,09/22/2015,DOB,DOB Inspections - Queens,Construction,Initial - Construction,Street Address,11363,43-60 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,43 AVENUE,CHURCH STREET,,,ADDRESS,LITTLE NECK,,N/A,Closed,09/25/2015,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,09/22/2015,11 QUEENS,QUEENS,1054590,218735,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76677361,-73.74606747,"(40.76677361196645, -73.74606747320736)"
