Security,BRL REGN Curncy                                                 
8/19/2011,1.5995
8/18/2011,1.599
8/17/2011,1.5882
8/16/2011,1.5902
8/15/2011,1.5895
8/12/2011,1.611
8/11/2011,1.6242
8/10/2011,1.6246
8/9/2011,1.5885
8/8/2011,1.6256
8/5/2011,1.5778
8/4/2011,1.5888
8/3/2011,1.5591
8/2/2011,1.5684
8/1/2011,1.5658
7/29/2011,1.5497
7/28/2011,1.5675
7/27/2011,1.555
7/26/2011,1.5391
7/25/2011,1.5398
7/22/2011,1.552
7/21/2011,1.5523
7/20/2011,1.5658
7/19/2011,1.5633
7/18/2011,1.5742
7/15/2011,1.5743
7/14/2011,1.5792
7/13/2011,1.5751
7/12/2011,1.5791
7/11/2011,1.5773
7/8/2011,1.5624
7/7/2011,1.5537
7/6/2011,1.5697
7/5/2011,1.5646
7/4/2011,1.553
7/1/2011,1.556
6/30/2011,1.5635
6/29/2011,1.5706
6/28/2011,1.5764
6/27/2011,1.5943
6/24/2011,1.6047
6/22/2011,1.591
6/21/2011,1.5861
6/20/2011,1.597
6/17/2011,1.5974
6/16/2011,1.6029
6/15/2011,1.6002
6/14/2011,1.5837
6/13/2011,1.5837
6/10/2011,1.5968
6/9/2011,1.5832
6/8/2011,1.5831
6/7/2011,1.5797
6/6/2011,1.5839
6/3/2011,1.575
6/2/2011,1.5746
6/1/2011,1.5942
5/31/2011,1.5805
5/30/2011,1.5939
5/27/2011,1.5948
5/26/2011,1.615
5/25/2011,1.6297
5/24/2011,1.624
5/23/2011,1.6333
5/20/2011,1.6236
5/19/2011,1.6164
5/18/2011,1.6097
5/17/2011,1.6165
5/16/2011,1.6353
5/13/2011,1.6367
5/12/2011,1.6195
5/11/2011,1.6219
5/10/2011,1.6038
5/9/2011,1.6142
5/6/2011,1.6155
5/5/2011,1.6221
5/4/2011,1.6176
5/3/2011,1.5866
5/2/2011,1.5884
4/29/2011,1.5743
4/28/2011,1.5778
4/27/2011,1.5659
4/26/2011,1.5625
4/25/2011,1.5696
